IDB=E:\Game\金庸群侠传\OpenLegend\research\ida\databases\Z_DAT.i64
DECOMPILER_AVAILABLE=True

--- XREF SUMMARY ---
0x51B6B last_key_code refs=132
  from=0x20BEB owner=0x20BEB type=1 is_code=False
  from=0x20C15 owner=0x20C15 type=1 is_code=False
  from=0x20C32 owner=0x20C32 type=2 is_code=False
  from=0x20C3B owner=0x20C32 type=3 is_code=False
  from=0x20DFA owner=0x20D35 type=2 is_code=False
  from=0x21069 owner=0x20FAF type=2 is_code=False
  from=0x2107C owner=0x20FAF type=3 is_code=False
  from=0x210C9 owner=0x20FAF type=2 is_code=False
  from=0x210FB owner=0x20FAF type=2 is_code=False
  from=0x21138 owner=0x20FAF type=2 is_code=False
  from=0x2119F owner=0x20FAF type=2 is_code=False
  from=0x212F4 owner=0x212C0 type=2 is_code=False
  from=0x21353 owner=0x212C0 type=3 is_code=False
  from=0x21392 owner=0x212C0 type=2 is_code=False
  from=0x213BB owner=0x212C0 type=2 is_code=False
  from=0x213E8 owner=0x212C0 type=2 is_code=False
  from=0x2147A owner=0x212C0 type=2 is_code=False
  from=0x2156B owner=0x21496 type=2 is_code=False
  from=0x2157B owner=0x21496 type=3 is_code=False
  from=0x215C3 owner=0x21496 type=2 is_code=False
  from=0x215DC owner=0x21496 type=2 is_code=False
  from=0x2160B owner=0x21496 type=2 is_code=False
  from=0x21653 owner=0x21496 type=2 is_code=False
  from=0x21AAF owner=0x21496 type=2 is_code=False
  from=0x21B95 owner=0x21AC0 type=2 is_code=False
  from=0x21BA5 owner=0x21AC0 type=3 is_code=False
  from=0x21BE6 owner=0x21AC0 type=2 is_code=False
  from=0x21C06 owner=0x21AC0 type=2 is_code=False
  from=0x21C20 owner=0x21AC0 type=2 is_code=False
  from=0x21C7D owner=0x21AC0 type=2 is_code=False
  from=0x22138 owner=0x22090 type=2 is_code=False
  from=0x2214D owner=0x22090 type=3 is_code=False
  from=0x2219D owner=0x22090 type=2 is_code=False
  from=0x221B6 owner=0x22090 type=2 is_code=False
  from=0x221CF owner=0x22090 type=2 is_code=False
  from=0x22203 owner=0x22090 type=2 is_code=False
  from=0x23992 owner=0x22A59 type=2 is_code=False
  from=0x25D32 owner=0x25D0E type=2 is_code=False
  from=0x25E0C owner=0x25D0E type=3 is_code=False
  from=0x25E47 owner=0x25D0E type=2 is_code=False
  from=0x25E61 owner=0x25D0E type=2 is_code=False
  from=0x25E7D owner=0x25D0E type=2 is_code=False
  from=0x25EC8 owner=0x25D0E type=2 is_code=False
  from=0x25F32 owner=0x25D0E type=2 is_code=False
  from=0x25F3E owner=0x25D0E type=3 is_code=False
  from=0x25F6B owner=0x25D0E type=2 is_code=False
  from=0x25FB0 owner=0x25F87 type=2 is_code=False
  from=0x25FF9 owner=0x25F87 type=2 is_code=False
  from=0x26019 owner=0x25F87 type=2 is_code=False
  from=0x26050 owner=0x25F87 type=2 is_code=False
  from=0x261BF owner=0x25F87 type=3 is_code=False
  from=0x261ED owner=0x25F87 type=2 is_code=False
  from=0x27071 owner=0x26B5E type=2 is_code=False
  from=0x27198 owner=0x2711A type=2 is_code=False
  from=0x2719F owner=0x2711A type=3 is_code=False
  from=0x271E3 owner=0x2711A type=3 is_code=False
  from=0x27B3B owner=0x27A26 type=2 is_code=False
  from=0x27DF5 owner=0x27A26 type=2 is_code=False
  from=0x27E07 owner=0x27A26 type=3 is_code=False
  from=0x28018 owner=0x27A26 type=2 is_code=False
  from=0x28106 owner=0x27A26 type=3 is_code=False
  from=0x2810F owner=0x27A26 type=3 is_code=False
  from=0x28118 owner=0x27A26 type=3 is_code=False
  from=0x28121 owner=0x27A26 type=3 is_code=False
  from=0x2812A owner=0x27A26 type=3 is_code=False
  from=0x28133 owner=0x27A26 type=3 is_code=False
  from=0x2813C owner=0x27A26 type=3 is_code=False
  from=0x28145 owner=0x27A26 type=3 is_code=False
  from=0x28152 owner=0x27A26 type=3 is_code=False
  from=0x28160 owner=0x27A26 type=2 is_code=False
  from=0x28432 owner=0x2841A type=3 is_code=False
  from=0x2843F owner=0x2841A type=3 is_code=False
  from=0x2844D owner=0x2841A type=3 is_code=False
  from=0x284F1 owner=0x2841A type=2 is_code=False
  from=0x28586 owner=0x2841A type=2 is_code=False
  from=0x28621 owner=0x2841A type=2 is_code=False
  from=0x28628 owner=0x2841A type=3 is_code=False
  from=0x28691 owner=0x2841A type=2 is_code=False
  from=0x286C3 owner=0x2841A type=3 is_code=False
  from=0x286D0 owner=0x2841A type=3 is_code=False
  from=0x286DE owner=0x2841A type=3 is_code=False
  from=0x287B9 owner=0x2841A type=2 is_code=False
  from=0x2897F owner=0x28975 type=2 is_code=False
  from=0x292E0 owner=0x28E40 type=2 is_code=False
  from=0x2A0E3 owner=0x2A0D9 type=2 is_code=False
  from=0x2A88B owner=0x2A86C type=2 is_code=False
  from=0x2A8C6 owner=0x2A86C type=2 is_code=False
  from=0x2A8EA owner=0x2A86C type=3 is_code=False
  from=0x2A90F owner=0x2A86C type=2 is_code=False
  from=0x2A924 owner=0x2A86C type=2 is_code=False
  from=0x2A93B owner=0x2A86C type=2 is_code=False
  from=0x2A950 owner=0x2A86C type=2 is_code=False
  from=0x2A968 owner=0x2A86C type=2 is_code=False
  from=0x2A980 owner=0x2A86C type=2 is_code=False
  from=0x2A9D3 owner=0x2A86C type=2 is_code=False
  from=0x2A9E1 owner=0x2A86C type=2 is_code=False
  from=0x2ADC0 owner=0x2A86C type=2 is_code=False
  from=0x2ADCC owner=0x2A86C type=3 is_code=False
  from=0x2AFE5 owner=0x2A86C type=2 is_code=False
  from=0x2AFF1 owner=0x2A86C type=3 is_code=False
  from=0x2B1DC owner=0x2A86C type=2 is_code=False
  from=0x2B218 owner=0x2A86C type=2 is_code=False
  from=0x2CEAE owner=0x2CC21 type=2 is_code=False
  from=0x2DD81 owner=0x2DD77 type=2 is_code=False
  from=0x2DDF0 owner=0x2DD77 type=3 is_code=False
  from=0x2DE87 owner=0x2DE7D type=2 is_code=False
  from=0x2DEFB owner=0x2DE7D type=3 is_code=False
  from=0x2E15F owner=0x2E155 type=2 is_code=False
  from=0x2E1C9 owner=0x2E155 type=2 is_code=False
  from=0x2E1D5 owner=0x2E155 type=3 is_code=False
  from=0x2E837 owner=0x2E659 type=2 is_code=False
  from=0x2E8E0 owner=0x2E659 type=3 is_code=False
  from=0x2E911 owner=0x2E659 type=2 is_code=False
  from=0x2E92A owner=0x2E659 type=2 is_code=False
  from=0x2E945 owner=0x2E659 type=2 is_code=False
  from=0x2E992 owner=0x2E659 type=2 is_code=False
  from=0x2EA02 owner=0x2E659 type=2 is_code=False
