binary	address	end	size	name	instruction_count	basic_blocks	direct_callers	direct_callees	code_origin
Z_COM	0x10100	0x1015F	95	start	20	2		0x10100,0x1015F,0x101A7	game_or_library_unclassified
Z_COM	0x1015F	0x101A7	72	sub_1015F	20	1	0x10100		game_or_library_unclassified
Z_COM	0x101A7	0x101C4	29	sub_101A7	12	4	0x10100	0x101A7	game_or_library_unclassified
Z_DAT	0x20000	0x20016	22	sub_20000	16	2	0x3CF19,0x3D6E0		game_or_library_unclassified
Z_DAT	0x20016	0x20039	35	sub_20016	19	1	0x20D35		game_or_library_unclassified
Z_DAT	0x20039	0x2005B	34	sub_20039	19	1	0x3D6D1		game_or_library_unclassified
Z_DAT	0x2005B	0x20087	44	sub_2005B	23	1	0x3D922		game_or_library_unclassified
Z_DAT	0x20087	0x200BD	54	sub_20087	36	5	0x3D939	0x20087	game_or_library_unclassified
Z_DAT	0x2010A	0x20145	59	sub_2010A	28	3	0x3D8D8	0x2010A	game_or_library_unclassified
Z_DAT	0x20354	0x2050A	438	sub_20354	167	46	0x3D643,0x3D8FF	0x20354	game_or_library_unclassified
Z_DAT	0x2050A	0x20615	267	sub_2050A	87	5	0x3D8AD	0x2050A	game_or_library_unclassified
Z_DAT	0x20615	0x20663	78	sub_20615	35	7	0x3D1E5,0x3D950	0x20615	game_or_library_unclassified
Z_DAT	0x20663	0x206AD	74	sub_20663	34	7	0x3D1E5,0x3D950	0x20663	game_or_library_unclassified
Z_DAT	0x206AD	0x20899	492	sub_206AD	176	46	0x3D88A	0x206AD,0x20899	game_or_library_unclassified
Z_DAT	0x20899	0x208A9	16	sub_20899	11	3	0x206AD	0x20899,0x208A9	game_or_library_unclassified
Z_DAT	0x208A9	0x2094A	161	sub_208A9	47	1	0x20899		game_or_library_unclassified
Z_DAT	0x2094A	0x20B22	472	sub_2094A	176	46	0x3D68A	0x2094A	game_or_library_unclassified
Z_DAT	0x20B22	0x20BB5	147	sub_20B22	73	19	0x2558B,0x29D2D	0x20B22	game_or_library_unclassified
Z_DAT	0x20C32	0x20C45	19	sub_20C32	6	3	0x21496,0x22A59,0x247DD,0x24F8C,0x25BBA,0x25D0E,0x26208,0x265AB,0x2711A,0x27A26,0x29391,0x294AD,0x29537,0x295D0,0x2A86C,0x2C0BB,0x2C319,0x2CC21,0x2D590,0x2D678,0x2D841,0x2DBF4,0x2DD77,0x2DE7D,0x2DF0E,0x2E155,0x2E337,0x2E659,0x2EB49,0x2F3F0,0x2F526,0x2F721,0x2FAB7,0x2FBC0,0x2FC9D,0x2FDA6,0x2FFB3,0x30A5A,0x30C3D,0x31DA0,0x3B238,0x3B387,0x3B6BE,0x3BA85,0x3C2AC,0x3CF45	0x20C32	game_or_library_unclassified
Z_DAT	0x20D35	0x20FAA	629	main	133	35	0x469C2	0x20016,0x20D35,0x20FAF,0x212C0,0x2399E,0x23AA6,0x23B3E,0x23C98,0x23F28,0x247DD,0x24C23,0x24C8D,0x2558B,0x26208,0x3CBE3,0x3CDFF,0x3CF19,0x3CF45,0x3D6D1,0x3D922,0x3DD57,0x3E1B2,0x3E25B,0x3ED1E,0x3ED5B,0x3EE5F	game_or_library_unclassified
Z_DAT	0x20FAF	0x212C0	785	sub_20FAF	207	48	0x20D35	0x20FAF,0x26208,0x26B5E,0x3CC97,0x3CD17,0x3CF19,0x3CF45,0x3D34A,0x3D643,0x3D6D1,0x3D6E0,0x3D8D8,0x3D939,0x3DD57,0x3ED1E,0x3EE5F	game_or_library_unclassified
Z_DAT	0x212C0	0x21496	470	sub_212C0	96	40	0x20D35,0x26B5E,0x28E40	0x20FAF,0x212C0,0x21496,0x21AC0,0x22066,0x2558B,0x25BBA,0x25D0E,0x269AB,0x29D2D,0x2A0D9,0x3D6D1,0x3ED1E	game_or_library_unclassified
Z_DAT	0x21496	0x21AC0	1578	sub_21496	424	80	0x212C0	0x20C32,0x21496,0x22090,0x2558B,0x269AB,0x29D2D,0x2CEBF,0x3A10C,0x3D6D1,0x3D832,0x3ED1E,0x3EEC7,0x3EF4A	game_or_library_unclassified
Z_DAT	0x21AC0	0x22066	1446	sub_21AC0	388	80	0x212C0	0x21496,0x21AC0,0x22090,0x2558B,0x269AB,0x29D2D,0x2CEBF,0x39DA3,0x3D6D1,0x3D832,0x3ED1E,0x3EEC7,0x3EF4A	game_or_library_unclassified
Z_DAT	0x22066	0x22090	42	sub_22066	12	3	0x212C0,0x32E59	0x22066,0x22090,0x22A59,0x3ED1E	game_or_library_unclassified
